,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
93,116 ST,Thu Mor,76821050.0,92859749.29353234,416.96019900497515,138.34825870646767,555.3084577114428
94,116 ST,Tue Aft,78317381.33248731,94692230.07360406,376.18781725888323,182.08121827411168,558.269035532995
95,116 ST,Tue Mor,74406852.09615384,89885969.01442307,415.3798076923077,145.5096153846154,560.8894230769231
96,116 ST,Wed Aft,78500211.81424937,94930728.5038168,383.42748091603056,182.27226463104327,565.6997455470738
97,116 ST,Wed Mor,76826007.66169155,92850909.90049751,437.78109452736317,148.91044776119404,586.6915422885572
98,116 ST-COLUMBIA,Fri Aft,202682734.19444445,43199147.925925925,506.93518518518516,265.1203703703704,772.0555555555555
99,116 ST-COLUMBIA,Fri Mor,202606435.56666666,43160335.7,180.68333333333334,237.78333333333333,418.46666666666664
100,116 ST-COLUMBIA,Mon Aft,202674129.00925925,43194546.731481485,382.94444444444446,230.46296296296296,613.4074074074074
101,116 ST-COLUMBIA,Mon Mor,202673616.25925925,43194177.12962963,164.09259259259258,204.27777777777777,368.3703703703704
102,116 ST-COLUMBIA,Sat Aft,202672102.3148148,43193247.722222224,260.3333333333333,139.69444444444446,400.02777777777777
103,116 ST-COLUMBIA,Sat Mor,202671733.35185185,43193042.38888889,45.51851851851852,54.388888888888886,99.9074074074074
104,116 ST-COLUMBIA,Sun Aft,202673031.6111111,43193743.84259259,237.62962962962962,128.53703703703704,366.1666666666667
105,116 ST-COLUMBIA,Sun Mor,202672695.25925925,43193554.18518519,35.907407407407405,31.38888888888889,67.29629629629629
106,116 ST-COLUMBIA,Thu Aft,202680481.91666666,43198050.88888889,522.5092592592592,302.23148148148147,824.7407407407408
107,116 ST-COLUMBIA,Thu Mor,202679783.14814815,43197560.24074074,218.7037037037037,305.6666666666667,524.3703703703703
108,116 ST-COLUMBIA,Tue Aft,202675996.71296296,43195659.925925925,497.49074074074076,294.5,791.9907407407408
109,116 ST-COLUMBIA,Tue Mor,202675333.07407406,43195180.481481485,218.8148148148148,296.98148148148147,515.7962962962963
110,116 ST-COLUMBIA,Wed Aft,202678206.60185185,43196850.324074075,502.51851851851853,305.8796296296296,808.3981481481482
111,116 ST-COLUMBIA,Wed Mor,202677532.1851852,43196356.35185185,218.64814814814815,297.2962962962963,515.9444444444445
112,121 ST,Fri Aft,1774499.619047619,1418223.261904762,67.5952380952381,39.54761904761905,107.14285714285714
113,121 ST,Fri Mor,1774362.2023809524,1418158.130952381,85.78571428571429,17.023809523809526,102.80952380952381
114,121 ST,Mon Aft,1773143.8214285714,1417660.107142857,56.80952380952381,33.63095238095238,90.44047619047619
115,121 ST,Mon Mor,1773028.2976190476,1417605.4642857143,69.52380952380952,13.630952380952381,83.1547619047619
116,121 ST,Sat Aft,1772716.3452380951,1417478.488095238,44.916666666666664,22.63095238095238,67.54761904761905
117,121 ST,Sat Mor,1772624.9166666667,1417438.3333333333,38.142857142857146,10.833333333333334,48.976190476190474
118,121 ST,Sun Aft,1772877.8333333333,1417556.7023809524,35.63095238095238,18.178571428571427,53.80952380952381
119,121 ST,Sun Mor,1772805.607142857,1417525.7142857143,27.19047619047619,8.166666666666666,35.357142857142854
120,121 ST,Thu Aft,1774161.642857143,1418085.3333333333,64.32142857142857,38.17857142857143,102.5
121,121 ST,Thu Mor,1774026.0,1418020.011904762,87.01190476190476,17.904761904761905,104.91666666666667
122,121 ST,Tue Aft,1773478.011904762,1417802.5595238095,67.23809523809524,41.964285714285715,109.20238095238095
123,121 ST,Tue Mor,1789879.9642857143,1425754.205357143,65.47321428571429,14.232142857142858,79.70535714285714
124,121 ST,Wed Aft,1773822.119047619,1417943.7023809524,66.78571428571429,40.214285714285715,107.0
125,121 ST,Wed Mor,1779605.4090909092,1421938.9431818181,84.32954545454545,16.454545454545453,100.7840909090909
126,125 ST,Fri Aft,135125170.43450063,76241504.95849545,484.3761348897536,388.0622568093385,872.4383916990921
127,125 ST,Fri Mor,112827938.14457831,64610981.1686747,354.6471600688468,258.21514629948365,612.8623063683305
128,125 ST,Mon Aft,140815662.4883721,78555142.16149871,387.28552971576227,291.90956072351423,679.1950904392764
129,125 ST,Mon Mor,113471293.2,64888246.91694915,274.9779661016949,199.23220338983052,474.21016949152545
130,125 ST,Sat Aft,140918924.15101522,78276062.76776649,334.8794416243655,302.8388324873096,637.7182741116751
131,125 ST,Sat Mor,109182637.02434783,63103869.22086956,155.7391304347826,140.55478260869566,296.29391304347826
132,125 ST,Sun Aft,140814429.03359172,78554028.52583979,285.64082687338504,236.5749354005168,522.2157622739018
133,125 ST,Sun Mor,112485104.4982639,64424329.690972224,112.59722222222223,103.43229166666667,216.02951388888889
134,125 ST,Thu Aft,135632289.87984496,76429931.1124031,471.48966408268734,343.6356589147287,815.125322997416
135,125 ST,Thu Mor,109366307.0087108,63205289.99651568,368.8658536585366,264.0540069686411,632.9198606271777
136,125 ST,Tue Aft,135628900.1602067,76427009.39664082,460.95090439276487,334.42377260981914,795.374677002584
